Source,Target,Type
Padova,Padova,Place
Padova,Ferrara,Place
Padova,Bologna,Place
Padova,Arslan,Place
Padova,Venezia,Place
Padova,Padova,Place
Padova,Padova,Place
Bianca,Bianca,Character
Bianca,Fadigati,Character
Venezia,Venezia,Place
Venezia,papà,Place
Venezia,mamma,Place
Venezia,mamma,Place
mamma,mamma,Character
Vittorio Molon,Vittorio Molon,Character
Vittorio Molon,Fratta Polesine,Character
Vittorio Molon,Vittorio,Character
Fadigati,Fadigati,Place
Padova,Padova,Place
Padova,Elsa Molon,Place
Padova,signora Molon,Place
Padova,via San Francesco,Place
Padova,Padova,Place
Padova,Padova,Place
Bianca,Bianca,Character
Scagnellato,Scagnellato,Character
Scagnellato,chiesa di San Francesco,Character
Scagnellato,Scagnellato,Character
Scagnellato,Deliliers,Character
Bianca,Bianca,Character
Deliliers,Deliliers,Character
Deliliers,Fadigati,Character
Fadigati,Fadigati,Place
Deliliers,Deliliers,Character
Bianca,Bianca,Character
Deliliers,Deliliers,Character
Deliliers,Fadigati,Character
Bianca,Bianca,Character
Bologna,Bologna,Place
Bologna,stazione,Place
Bologna,Stella del Nord,Place
Bologna,Strada Maggiore,Place
Bologna,da Gigino,Place
Bologna,due Torri,Place
Bologna,alla Gallina Faraona,Place
Bologna,San Vitale,Place
Bologna,via Zamboni,Place
San Pietro in Casale,San Pietro in Casale,Place
Deliliers,Deliliers,Character
Deliliers,Nino Bottecchiari,Character
Deliliers,Nino,Character
Deliliers,Deliliers,Character
Nino,Nino,Character
Nino,Venezia,Character
Nino,Nino,Character
Nino,Nino,Character
Franco,Franco,Character
Franco,Nino,Character
Franco,Fadigati,Character
Franco,Bianca,Character
Franco,Nino,Character
Fadigati,Fadigati,Place
Fadigati,Nino,Place
Nino Bottecchiari,Nino Bottecchiari,Character
Nino Bottecchiari,Imperia,Character
Nino Bottecchiari,Ventimiglia,Character
Nino Bottecchiari,Grappa,Character
Nino Bottecchiari,Vittorio Molon,Character
Nino Bottecchiari,Ferrara,Character
Nino Bottecchiari,Eraldo,Character
Nino Bottecchiari,Eraldo Deliliers,Character
Nino Bottecchiari,Caffè della Borsa,Character
Deliliers,Deliliers,Character
Deliliers,Deliliers,Character
Fadigati,Fadigati,Place
Deliliers,Deliliers,Character
Deliliers,Deliliers,Character
Fadigati,Fadigati,Place
Deliliers,Deliliers,Character
Deliliers,Deliliers,Character
Deliliers,Fadigati,Character
Nino Bottecchiari,Nino Bottecchiari,Character
Nino Bottecchiari,Nino,Character
Nino Bottecchiari,Deliliers,Character
Nino Bottecchiari,Nino,Character
