Source,Target,Type
avvocato Lavezzoli,avvocato Lavezzoli,Character
avvocato Lavezzoli,Riccione,Character
Fadigati,Fadigati,Place
Fadigati,Fadigati,Place
Riccione,Riccione,Place
Riccione,Fadigati,Place
Fadigati,Fadigati,Place
Deliliers,Deliliers,Character
Deliliers,dottore,Character
mia madre,mia madre,Character
avvocato Lavezzoli,avvocato Lavezzoli,Character
Fadigati,Fadigati,Place
Fadigati,padre,Place
avvocato,avvocato,Character
avvocato,tre,Character
padre,padre,Character
Avvocato,Avvocato,Character
signora Lavezzoli,signora Lavezzoli,Character
signora Lavezzoli,Fadigati,Character
Fadigati,Fadigati,Place
Fadigati,signora,Place
Fadigati,padre,Place
Fadigati,mamma,Place
Bologna,Bologna,Place
padre,padre,Character
padre,mia madre,Character
padre,Lavezzoli,Character
padre,padre,Character
Fadigati,Fadigati,Place
Fadigati,Lido,Place
signora Lavezzoli,signora Lavezzoli,Character
signora Lavezzoli,Tirreno,Character
signora Lavezzoli,Riccione,Character
signora Lavezzoli,Viareggio,Character
Caffè Zanarini,Caffè Zanarini,Place
Caffè Zanarini,Ferrara,Place
Caffè Zanarini,Giovecca,Place
Caffè Zanarini,corso Roma,Place
Caffè Zanarini,Caffè della Borsa,Place
Caffè Zanarini,Fadigati,Place
Caffè Zanarini,Deliliers,Place
ragazzi Lavezzoli,ragazzi Lavezzoli,Character
ragazzi Lavezzoli,madre,Character
Fadigati,Fadigati,Place
Pascoli,Pascoli,Character
Riviera di Levante,Riviera di Levante,Place
Riviera di Levante,Adriatico,Place
Riviera di Levante,Jugoslavia,Place
amico inseparabile,amico inseparabile,Character
amico inseparabile,signora Lavezzoli,Character
Fadigati,Fadigati,Place
Rimini,Rimini,Place
Duce,Duce,Character
Duce,signora Lavezzoli,Character
padre,padre,Character
Mussolini,Mussolini,Character
Mussolini,Hitler,Character
Mussolini,Italia,Character
signora Lavezzoli,signora Lavezzoli,Character
signora Lavezzoli,Roma,Character
signora Lavezzoli,Riccione,Character
Donna,Donna,Character
avvocato Lavezzoli,avvocato Lavezzoli,Character
avvocato Lavezzoli,avvocato Lavezzoli,Character
avvocato Lavezzoli,Croce,Character
avvocato Lavezzoli,avvocato,Character
avvocato Lavezzoli,padre,Character
avvocato Lavezzoli,avv,Character
signora Lavezzoli,signora Lavezzoli,Character
signora Lavezzoli,Filippo,Character
signora Lavezzoli,viale dei Mille,Character
signora Lavezzoli,Duce,Character
signora Lavezzoli,Pippo,Character
signora Lavezzoli,avvocato,Character
padre,padre,Character
padre,padre,Character
padre,avvocato Lavezzoli,Character
padre,signora,Character
padre,Duce,Character
Duce,Duce,Character
Duce,Vittorio,Character
Duce,Bruno,Character
Duce,Dollfuss,Character
Duce,Mussolini,Character
Duce,Duce,Character
Duce,Mussolini,Character
Duce,Dollfuss,Character
Duce,signora Dollfuss,Character
Duce,Duce,Character
Fadigati,Fadigati,Place
Fadigati,signora Lavezzoli,Place
Fadigati,Deliliers,Place
signora Lavezzoli,signora Lavezzoli,Character
signora Lavezzoli,suo amico,Character
Fadigati,Fadigati,Place
padre,padre,Character
Punta di Pesaro,Punta di Pesaro,Place
Rimini,Rimini,Place
Rimini,Cesenatico,Place
Rimini,Fadigati,Place
Grand Hôtel,Grand Hôtel,Place
Grand Hôtel,Fadigati,Place
Fadigati,Fadigati,Place
ragazzi Lavezzoli,ragazzi Lavezzoli,Character
ragazzi Lavezzoli,Caffè Zanarini,Character
Fanny,Fanny,Character
Deliliers,Deliliers,Character
Zanarini,Zanarini,Place
Riccione,Riccione,Place
Riccione,Hôtel Vittoria,Place
Riccione,Parma,Place
Riccione,signora Lavezzoli,Place
Riccione,Grand Hôtel,Place
Riccione,Deliliers,Place
Riccione,Fadigati,Place
Deliliers,Deliliers,Character
Deliliers,Grand Hôtel,Character
avvocato,avvocato,Character
avvocato,consorte,Character
avvocato,signora Lavezzoli,Character
Dollfuss,Dollfuss,Character
Dollfuss,Hitler,Character
padre,padre,Character
padre,signora Lavezzoli,Character
padre,Padre Gemelli,Character
Padre Gemelli,Padre Gemelli,Character
Deliliers,Deliliers,Character
Riccione,Riccione,Place
Deliliers,Deliliers,Character
Rimini,Rimini,Place
Rimini,Parma,Place
Fadigati,Fadigati,Place
Fadigati,Deliliers,Place
Fadigati,Fadigati,Place
Deliliers,Deliliers,Character
Rimini,Rimini,Place
Rimini,Deliliers,Place
Parma,Parma,Place
Parma,signora Lavezzoli,Place
Parma,Deliliers,Place
Parma,Deliliers,Place
Parma,Fadigati,Place
dottore,dottore,Character
dottore,Io,Character
Fadigati,Fadigati,Place
Deliliers,Deliliers,Character
Deliliers,Rimini,Character
padre,padre,Character
padre,mia madre,Character
padre,mamma,Character
padre,Fanny,Character
padre,Schubert,Character
Fadigati,Fadigati,Place
Fadigati,mia madre,Place
Fadigati,padre,Place
Fadigati,Fadigati,Place
Fadigati,Fanny,Place
Fadigati,mamma,Place
Fadigati,mia madre,Place
sua sorellina,sua sorellina,Character
sua sorellina,Fadigati,Character
Ernesto,Ernesto,Place
Fadigati,Fadigati,Place
signori Lavezzoli,signori Lavezzoli,Character
signora Lavezzoli,signora Lavezzoli,Character
Lavezzoli,Lavezzoli,Character
Lavezzoli,padre,Character
Lavezzoli,mia madre,Character
Lavezzoli,padre,Character
Lavezzoli,dottore,Character
Fadigati,Fadigati,Place
Fadigati,Omero,Place
Fadigati,padre,Place
Fadigati,Orazio,Place
Fadigati,Deliliers,Place
Fadigati,famiglia Lavezzoli,Place
Fadigati,Fadigati,Place
Fadigati,signora Lavezzoli,Place
Deliliers,Deliliers,Character
Deliliers,Fadigati,Character
signora Lavezzoli,signora Lavezzoli,Character
signora Lavezzoli,ragazzi Lavezzoli,Character
signora Lavezzoli,Caffè Zanarini,Character
Franco,Franco,Character
Franco,Gilberto Lavezzoli,Character
Franco,Cristina,Character
Franco,intera famiglia,Character
Franco,Fadigati,Character
Franco,Melozzo,Character
Fadigati,Fadigati,Place
Cristina,Cristina,Character
Fadigati,Fadigati,Place
Adriatico,Adriatico,Place
signora Lavezzoli,signora Lavezzoli,Character
Fadigati,Fadigati,Place
signora Lavezzoli,signora Lavezzoli,Character
signora Lavezzoli,padre,Character
Riccione,Riccione,Place
Riccione,madre,Place
Riccione,papà,Place
signora Lavezzoli,signora Lavezzoli,Character
signora Lavezzoli,signora Lavezzoli,Character
signora Lavezzoli,Cristina,Character
Fanny,Fanny,Character
Ernesto,Ernesto,Place
Ernesto,padre,Place
Fanny,Fanny,Character
Fadigati,Fadigati,Place
Franco,Franco,Character
Franco,Gilberto,Character
Fadigati,Fadigati,Place
signora Lavezzoli,signora Lavezzoli,Character
Grand Hôtel,Grand Hôtel,Place
Grand Hôtel,Deliliers,Place
ERALDO,ERALDO,Character
Deliliers,Deliliers,Character
Fadigati,Fadigati,Place
Fadigati,Zanarini,Place
Rimini,Rimini,Place
Rimini,Ferrara,Place
Deliliers,Deliliers,Character
Riccione,Riccione,Place
Fadigati,Fadigati,Place
padre,padre,Character
padre,mia madre,Character
padre,Fanny,Character
padre,signora Lavezzoli,Character
padre,padre,Character
padre,io,Character
padre,San Leo,Character
padre,Carpegna,Character
padre,Ferrara,Character
Tubi,Tubi,Character
Tubi,Vittorio Molon,Character
Tubi,Nino Bottecchiari,Character
Mura degli Angeli,Mura degli Angeli,Place
chiesa di San Cristoforo,chiesa di San Cristoforo,Place
chiesa di San Cristoforo,castello Estense,Place
chiesa di San Cristoforo,duomo,Place
Caffè della Borsa,Caffè della Borsa,Place
Caffè della Borsa,corso Roma,Place
Nino Bottecchiari,Nino Bottecchiari,Character
Ferrara,Ferrara,Place
Nino,Nino,Character
Nino,Nino,Character
cameriere Giovanni,cameriere Giovanni,Character
cameriere Giovanni,farmacia Barilari,Character
cameriere Giovanni,Nino,Character
cameriere Giovanni,Aretusi,Character
cameriere Giovanni,Sturla,Character
cameriere Giovanni,Bellistracci,Character
cameriere Giovanni,Bolognesi,Character
cameriere Giovanni,Gino Cariani,Character
cameriere Giovanni,Cariani,Character
cameriere Giovanni,Aretusi,Character
cameriere Giovanni,Sciagura,Character
cameriere Giovanni,Nino,Character
cameriere Giovanni,corso Roma,Character
cameriere Giovanni,Giovecca,Character
Nino,Nino,Character
Giovanni,Giovanni,Character
duomo,duomo,Place
Moena,Moena,Place
Moena,Nino,Place
Moena,zio Mauro,Place
Arcivescovado,Arcivescovado,Place
Nino,Nino,Character
corso Roma,corso Roma,Place
Nino,Nino,Character
Deliliers,Deliliers,Character
Nino,Nino,Character
Nino,Riccione,Character
Nino,Fadigati,Character
Nino,Moena,Character
Nino,Deliliers,Character
Nino,Parigi,Character
Ferrara,Ferrara,Place
Ferrara,Bologna,Place
Francia,Francia,Place
Francia,Francia,Place
Italia,Italia,Place
Arcivescovado,Arcivescovado,Place
Arcivescovado,via Gorgadello,Place
Arcivescovado,piazza Cattedrale,Place
San Carlo,San Carlo,Place
San Carlo,duomo,Place
San Carlo,Palazzo Arcivescovile,Place
San Carlo,Nino Bottecchiari,Place
Cenzo,Cenzo,Character
Cenzo,Cenzo,Character
Nino,Nino,Character
Nino,ghetto,Character
Nino,via Mazzini,Character
Nino,via Vignatagliata,Character
Nino,vicolo,Character
Nino,Nino,Character
Nino,zio Mauro,Character
Nino,Italia,Character
Nino,Germania,Character
zio,zio,Character
nostro Paese,nostro Paese,Place
nostro Paese,Ferrara,Place
nostro Paese,Ferrara,Place
nostro Paese,Geremia Tabet,Place
nostro Paese,Carlo Aretusi,Place
nostro Paese,Vezio Sturla,Place
nostro Paese,Osvaldo Bellistracci,Place
nostro Paese,Bolognesi,Place
nostro Paese,Corcos,Place
nostro Paese,Elia Corcos,Place
nostro Paese,padre,Place
nostro Paese,avvocato Lattes,Place
nostro Paese,Bruno,Place
nostro Paese,Ferrara,Place
nostro Paese,Finzi,Place
nostro Paese,Alberto,Place
nostro Paese,Finzi,Place
nostro Paese,Ferrara,Place
nostro Paese,corso Ercole,Place
Gino Cariani,Gino Cariani,Character
Gino Cariani,io,Character
Gino Cariani,Cariani,Character
Cariani,Cariani,Character
Cariani,zio Mauro,Character
Nino,Nino,Character
Io,Io,Character
Fadigati,Fadigati,Place
via Bomporto,via Bomporto,Place
Condorelli,Condorelli,Character
Condorelli,Beppe,Character
Condorelli,Ilario,Character
Condorelli,grande Baùsi,Character
Fadigati,Fadigati,Place
Fadigati,Fadigati,Place
via Ripagrande,via Ripagrande,Place
Montagnone,Montagnone,Place
io,io,Character
io,Fadigati,Character
io,via Gorgadello,Character
Montagnone,Montagnone,Place
Fadigati,Fadigati,Place
Acquedotto,Acquedotto,Place
Fadigati,Fadigati,Place
Fadigati,Fadigati,Place
Fadigati,Fadigati,Place
Fadigati,Fadigati,Place
Deliliers,Deliliers,Character
Deliliers,Fadigati,Character
Deliliers,io,Character
Deliliers,Fadigati,Character
mia madre,mia madre,Character
Fadigati,Fadigati,Place
mamma,mamma,Character
mamma,Fanny,Character
dottore,dottore,Character
papà,papà,Character
via Gorgadello,via Gorgadello,Place
Acquedotto,Acquedotto,Place
via Garibaldi,via Garibaldi,Place
via Garibaldi,via Garibaldi,Place
via Garibaldi,Spianata,Place
via Piangipane,via Piangipane,Place
padre,padre,Character
padre,mia madre,Character
Pontelagoscuro,Pontelagoscuro,Place
Fadigati,Fadigati,Place
Fanny,Fanny,Character
Excelsior,Excelsior,Place
mamma,mamma,Character
Fadigati,Fadigati,Place
Ferrara,Ferrara,Place
Listone,Listone,Place
Listone,via Bersaglieri del Po,Place
Listone,via Cairoli,Place
via Savonarola,via Savonarola,Place
via Savonarola,chiesa di San Girolamo,Place
Cenzo,Cenzo,Character
Bologna,Bologna,Place
Bologna,Torino,Place
Bologna,Carpi,Place
mamma,mamma,Character
mamma,Ernesto,Character
mamma,Parigi,Character
mamma,Italia,Character
mamma,Milano,Character
mamma,Ferrara,Character
papà,papà,Character
Ernesto,Ernesto,Place
Nino Bottecchiari,Nino Bottecchiari,Character
Fanny,Fanny,Character
Fanny,mamma,Character
Fanny,Ernesto,Character
padre,padre,Character
Elisa,Elisa,Character
mamma,mamma,Character
Ernesto,Ernesto,Place
Ernesto,papà,Place
mamma,mamma,Character
papà,papà,Character
mamma,mamma,Character
Credito Italiano,Credito Italiano,Place
Credito Italiano,Geremia Tabet,Place
Credito Italiano,Bocchini,Place
Tabet,Tabet,Character
Tabet,Roma,Character
Tabet,Viminale,Character
Tabet,Sua Eccellenza,Character
Tabet,dottor Corazza,Character
avvocato,avvocato,Character
avvocato,Bocchini,Character
Tabet,Tabet,Character
Tabet,Italia,Character
Bocchini,Bocchini,Character
Bocchini,Duce,Character
Bocchini,Italia,Character
Bocchini,Germania,Character
Bocchini,Duce,Character
Bocchini,Capo,Character
mamma,mamma,Character
mamma,Mussolini,Character
Elisa,Elisa,Character
Elisa,Elisa,Character
Elisa,papà,Character
Capo,Capo,Character
Capo,padre,Character
Torino,Torino,Place
Torino,Cenzo,Place
padre,padre,Character
Elisa,Elisa,Character
Elisa,padre,Character
Elisa,mamma,Character
PONTELAGOSCURO,PONTELAGOSCURO,Place
Elisa,Elisa,Character
Elisa,Fadigati,Character
